"subject_uri","birthYear","country","nationality"
"http://dbpedia.org/resource/William_Penn",1644,"Kingdom_of_England",
"http://dbpedia.org/resource/William_Ladd",1778,,
"http://dbpedia.org/resource/Percy_Bysshe_Shelley",1792,"West_Sussex",
"http://dbpedia.org/resource/Elizabeth_Pease_Nichol",1807,,"British"
"http://dbpedia.org/resource/John_Bosco",1815,"Kingdom_of_Sardinia",
"http://dbpedia.org/resource/Henry_David_Thoreau",1817,,
"http://dbpedia.org/resource/Julia_Ward_Howe",1819,,
"http://dbpedia.org/resource/Frédéric_Passy",1822,"France","French"
"http://dbpedia.org/resource/Henry_Dunant",1828,,"Swiss"
"http://dbpedia.org/resource/Henry_Dunant",1828,,"Cinema_of_Switzerland"
"http://dbpedia.org/resource/Leo_Tolstoy",1828,"Russian_Empire",
"http://dbpedia.org/resource/Randal_Cremer",1828,"Hampshire",
"http://dbpedia.org/resource/Priscilla_Hannah_Peckover",1833,,"British"
"http://dbpedia.org/resource/Élie_Ducommun",1833,,
"http://dbpedia.org/resource/Andrew_Carnegie",1835,,
"http://dbpedia.org/resource/Olympia_Brown",1835,,
"http://dbpedia.org/resource/Matilde_Bajer",1840,,"Danish"
"http://dbpedia.org/resource/Émilie_de_Morsier",1843,,"Swiss"
"http://dbpedia.org/resource/Bertha_von_Suttner",1843,"Austrian_Empire",
"http://dbpedia.org/resource/Bertha_von_Suttner",1843,"Kingdom_of_Bohemia",
"http://dbpedia.org/resource/Maria_Pognon",1844,,"French"
"http://dbpedia.org/resource/Klas_Pontus_Arnoldson",1844,"Sweden",
"http://dbpedia.org/resource/Benjamin_Franklin_Trueblood",1847,,
"http://dbpedia.org/resource/Ann-Margret_Holmgren",1850,,"Swedish"
"http://dbpedia.org/resource/Agda_Montelius",1850,,
"http://dbpedia.org/resource/Aletta_Jacobs",1854,"Netherlands","Netherlands"
"http://dbpedia.org/resource/Alfred_Vanderpol",1854,,"French"
"http://dbpedia.org/resource/Henri_La_Fontaine",1854,"Belgium",
"http://dbpedia.org/resource/Pope_Benedict_XV",1854,"Kingdom_of_Sardinia",
"http://dbpedia.org/resource/Avril_de_Sainte-Croix",1855,,"French"
"http://dbpedia.org/resource/Margaret_Ashton",1856,,"British"
"http://dbpedia.org/resource/Keir_Hardie",1856,,
"http://dbpedia.org/resource/Anita_Augspurg",1857,,"German"
"http://dbpedia.org/resource/Anita_Augspurg",1857,,"Germans"
"http://dbpedia.org/resource/Clara_Zetkin",1857,"German_Confederation",
"http://dbpedia.org/resource/Clara_Zetkin",1857,"Kingdom_of_Saxony",
"http://dbpedia.org/resource/Albert_Bourderon",1858,,"French"
"http://dbpedia.org/resource/Ludwig_Quidde",1858,,
"http://dbpedia.org/resource/Jean_Jaurès",1859,"Second_French_Empire","French_people"
"http://dbpedia.org/resource/Eline_Hansen",1859,,"Danish"
"http://dbpedia.org/resource/L._L._Zamenhof",1859,"Russian_Empire",
"http://dbpedia.org/resource/George_Lansbury",1859,"Suffolk",
"http://dbpedia.org/resource/L._L._Zamenhof",1859,"Grodno_Governorate",
"http://dbpedia.org/resource/Emily_Hobhouse",1860,"England",
"http://dbpedia.org/resource/Jane_Addams",1860,,
"http://dbpedia.org/resource/Han_Ryner",1861,"French_Algeria",
"http://dbpedia.org/resource/Han_Ryner",1861,"Algeria",
"http://dbpedia.org/resource/Julia_Solly",1862,,"British/South African"
"http://dbpedia.org/resource/Lucina_Hagman",1863,,"Finland"
"http://dbpedia.org/resource/Arthur_Henderson",1863,"Scotland",
"http://dbpedia.org/resource/Hugo_Haase",1863,"East_Prussia",
"http://dbpedia.org/resource/Alfred_Hermann_Fried",1864,"Austrian_Empire",
"http://dbpedia.org/resource/Helena_Swanwick",1864,,
"http://dbpedia.org/resource/Anton_Bacalbașa",1865,,"Romanian"
"http://dbpedia.org/resource/Anton_Bacalbașa",1865,,"Romania"
"http://dbpedia.org/resource/John_Mott",1865,,
"http://dbpedia.org/resource/Harriet_Dunlop_Prenter",1865,,"Canadians"
"http://dbpedia.org/resource/Christine_Ross_Barker",1866,,"Canadian"
"http://dbpedia.org/resource/Emilia_Broomé",1866,,"Swedish"
"http://dbpedia.org/resource/Alice_Amelia_Chown",1866,,"Canadian"
"http://dbpedia.org/resource/Christine_Ross_Barker",1866,,"Canadians"
"http://dbpedia.org/resource/Romain_Rolland",1866,,
"http://dbpedia.org/resource/Sophonisba_Breckinridge",1866,,
"http://dbpedia.org/resource/Emily_Greene_Balch",1867,,"American"
"http://dbpedia.org/resource/Lillian_Wald",1867,,
"http://dbpedia.org/resource/Anna_B._Eckstein",1868,,
"http://dbpedia.org/resource/Émile_Chartier",1868,,
"http://dbpedia.org/resource/Alma_Dolens",1869,,"Italian"
"http://dbpedia.org/resource/Alma_Dolens",1869,,"Italians"
