"subject_uri","property_uri","object_uri","label"
"http://dbpedia.org/resource/Leo_Tolstoy","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Novelist","Novelist"
"http://dbpedia.org/resource/Leo_Tolstoy","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Short_story","Short story"
"http://dbpedia.org/resource/Leo_Tolstoy","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Essayist","Essayist"
"http://dbpedia.org/resource/Leo_Tolstoy","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Playwright","Playwright"
"http://dbpedia.org/resource/Andrew_Carnegie","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Philanthropist","Philanthropist"
"http://dbpedia.org/resource/Andrew_Carnegie","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Industrialist","Industrialist"
"http://dbpedia.org/resource/Bertha_von_Suttner","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Novelist","Novelist"
"http://dbpedia.org/resource/Bertha_von_Suttner","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Pacifism","Pacifism"
"http://dbpedia.org/resource/Ann-Margret_Holmgren","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Suffrage","Suffrage"
"http://dbpedia.org/resource/Henri_La_Fontaine","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Lawyer","Lawyer"
"http://dbpedia.org/resource/L._L._Zamenhof","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Ophthalmologist","Ophthalmologist"
"http://dbpedia.org/resource/Jane_Addams","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Social_worker","Social worker"
"http://dbpedia.org/resource/Romain_Rolland","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Musicologist","Musicologist"
"http://dbpedia.org/resource/Romain_Rolland","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Art_historian","Art historian"
"http://dbpedia.org/resource/Christine_Ross_Barker","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Suffragist","Suffragist"
"http://dbpedia.org/resource/Christine_Ross_Barker","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Pacifista","Pacifista"
"http://dbpedia.org/resource/Emily_Greene_Balch","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Economics","Economics"
"http://dbpedia.org/resource/Mahatma_Gandhi","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Political_ethics","Political ethics"
"http://dbpedia.org/resource/Vasily_Pozdnyakov","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Conscientious_objector","Conscientious objector"
"http://dbpedia.org/resource/Cornelia_Ramondt-Hirschmann","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Pacifist","Pacifist"
"http://dbpedia.org/resource/Rosa_Luxemburg","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Philosopher","Philosopher"
"http://dbpedia.org/resource/Rosa_Luxemburg","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Revolutionary","Revolutionary"
"http://dbpedia.org/resource/Clara_Ragaz","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Pacifist","Pacifist"
"http://dbpedia.org/resource/Nicholas_Roerich","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Archaeologist","Archaeologist"
"http://dbpedia.org/resource/Otto_Rühle","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Politician","Politician"
"http://dbpedia.org/resource/Otto_Rühle","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Psychologist","Psychologist"
"http://dbpedia.org/resource/Otto_Rühle","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Writer","Writer"
"http://dbpedia.org/resource/Otto_Rühle","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Philosopher","Philosopher"
"http://dbpedia.org/resource/Evelyn_Underhill","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Mysticism","Mysticism"
"http://dbpedia.org/resource/Suze_Groeneweg","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/House_of_Representatives_of_the_Netherlands","House of Representatives of the Netherlands"
"http://dbpedia.org/resource/Mary_Dingman","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Peace_movement","Peace movement"
"http://dbpedia.org/resource/Salvador_de_Madariaga","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Pacifism","Pacifism"
"http://dbpedia.org/resource/Tano_Jōdai","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Peace_activist","Peace activist"
"http://dbpedia.org/resource/René_Cassin","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/France","France"
"http://dbpedia.org/resource/René_Cassin","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Judge","Judge"
"http://dbpedia.org/resource/René_Cassin","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Université_Lille_Nord_de_France","Université Lille Nord de France"
"http://dbpedia.org/resource/Dorothy_Evans","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Suffragette","Suffragette"
"http://dbpedia.org/resource/Norma_Elizabeth_Boyd","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Alpha_Kappa_Alpha","Alpha Kappa Alpha"
"http://dbpedia.org/resource/Selma_Meyer","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Feminism","Feminism"
"http://dbpedia.org/resource/Gertrud_Baer","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Peace_activist","Peace activist"
"http://dbpedia.org/resource/Selma_Meyer","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Pacifism","Pacifism"
"http://dbpedia.org/resource/Donald_Soper","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Minister_(Christianity)","Minister (Christianity)"
"http://dbpedia.org/resource/Waldo_Williams","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Poet","Poet"
"http://dbpedia.org/resource/Muriel_Duckworth","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Activist","Activist"
"http://dbpedia.org/resource/Idy_Hegnauer","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Nurse","Nurse"
"http://dbpedia.org/resource/Peggy_Duff","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Journalist","Journalist"
"http://dbpedia.org/resource/Grigoris_Lambrakis","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Gynecologist","Gynecologist"
"http://dbpedia.org/resource/Wilson_A._Head","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Sociologist","Sociologist"
"http://dbpedia.org/resource/David_Dellinger","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Pacifism","Pacifism"
"http://dbpedia.org/resource/Frances_Crowe","http://dbpedia.org/ontology/occupation","http://dbpedia.org/resource/Pacifism","Pacifism"
