Organisation,Eigenvector,Betweenness
Women's International League for Peace and Freedom,0.6024930395721119,0.04754999866660453
International Committee of Women for Permanent Peace,0.34424136843364334,0.02261376684513664
Alpha Kappa Alpha,0.039040969819332035,0.02717882300911244
Daughters of the American Revolution,0.03894150001042897,0.01679637609287959
Phi Beta Kappa Society,0.03748373173471138,0.004495315588917859
National Union of Societies for Equal Citizenship,0.03328061410793239,0.0
League of Nations Union,0.03328061410793239,0.0
National Woman's Party,0.02879055207564244,0.022830709703315116
Norwegian Association for Women's Rights,0.027021890236363446,0.0009196917170443802
Six Point Group,0.024577807431894295,0.00882445635045698
War Resisters' International,0.024547154040272537,0.0009082313841217087
Peace Pledge Union,0.023740929382209085,0.0
Peace News,0.023740929382209085,0.0
Women's Social and Political Union,0.023740929382209085,0.0
Heterodoxy,0.023406725114400666,0.0007885118348402309
Consumers' Cooperative of Berkeley,0.022781123286890265,0.0
Gray Panthers,0.022781123286890265,0.0
Fellowship of Reconciliation,0.022781123286890265,0.0
Congress of Racial Equality,0.022781123286890265,0.0
Union of Democratic Control,0.021951120363044932,0.0
Westfield College,0.021951120363044932,0.0
The Guardian,0.021951120363044932,0.0
University of Wisconsin–Madison,0.020460232204889843,0.0
Feminist Association,0.020460232204889843,0.0
Belgian Red Cross,0.020460232204889843,0.0
Wellesley College,0.020460232204889843,0.0
Vorwärts,0.020460232204889843,0.0
Kvinnestemmerettsforeningen,0.013526544384297243,0.0
Norwegian Red Cross,0.013526544384297243,0.0
Q19383539,0.013526544384297243,0.0
Oslo Zoological Museum,0.0126078405287232,0.0
University of Vienna,0.012115605728233628,0.0018107326017820819
Q10561469,0.012101142440657598,0.0
National Council of Swedish Women,0.012101142440657598,0.0
United Nations,0.003568827498124659,0.021052919426076122
Brandeis University,0.0029340308641674262,0.017443249067563213
Industrial Workers of the World,0.00273750934359016,0.004806013988749009
Silent Sentinels,0.0024132585329532143,1.3847902281561282e-05
NAACP,0.0019687768516115835,0.0009082313841217087
National Child Labor Committee,0.0019041140116977811,0.0
Women's Trade Union League,0.0019041140116977811,0.0
University of Pittsburgh,0.0014783778516010437,0.008405372064044824
Temple University,0.0014423101859391708,0.0028856910380726155
Commonweal,0.0013883925139809583,0.0
The Liberator,0.0013883925139809583,0.0
New York Call,0.0013883925139809583,0.0
Staten Island Advance,0.0013883925139809583,0.0
The Masses,0.0013883925139809583,0.0
Pathé,0.0013883925139809583,0.0
Schwarzburgbund,0.001365680638634901,0.0
Princeton Theological Seminary,0.001365680638634901,0.0
Westminster Theological Seminary,0.001365680638634901,0.0
American Academy of Arts and Letters,0.001331145504647835,0.02457024341259348
American Academy of Arts and Sciences,0.001196959379845204,0.06960328384578168
World Committee of Women Against War and Fascism,0.0009026521054703771,0.007151247743746956
University of Giessen,0.0004114374505377829,0.0
Columbia University,0.00035695466760010257,0.0222037753762066
Harvard University,0.0003493288865807557,0.03343759637454962
Alpha Phi Alpha,0.00025353274548956217,0.0005752111109816751
German Academy of Sciences Leopoldina,0.00023773639540715895,0.00042963969531886374
National Academy of Sciences,0.00023773639540715895,0.00042963969531886374
Stanford University,0.00020774927433868433,0.008474112007028413
Legion of Honour,0.00018934133324673366,0.0
Congressional Black Caucus,0.00018934133324673366,0.0
National Council of Churches,0.00018934133324673366,0.0
Royal Society,0.00018196386013101664,0.006818041068218585
Cornell University,0.0001794729999777321,0.002651282429095225
"University of California, San Diego",0.00016714259053351448,0.011365137996086624
Hungarian Academy of Sciences,0.0001542187722798045,0.00045218835696053027
American Philosophical Society,0.00015235923595036552,0.0009022723994103351
French Academy of Sciences,0.00015155267100215063,0.0009082313841217087
Bavarian Academy of Sciences and Humanities,0.00014569180905410186,0.0
California Institute of Technology,0.00014569180905410186,0.0
International Academy of Quantum Molecular Science,0.00014569180905410186,0.0
Académie Nationale de Médecine,0.00014569180905410186,0.0
Polish Academy of Sciences,0.00014569180905410186,0.0
Linus Pauling Institute,0.00014569180905410186,0.0
Oregon State University,0.00014569180905410186,0.0
Academy of Sciences of the USSR,0.00014569180905410186,0.0
Royal Society of Edinburgh,0.00014569180905410186,0.0
Young Women’s Christian Association,0.00012159165901402127,0.0
Epsom Girls' Grammar School,0.00012159165901402127,0.0
Academy of the Kingdom of  for Royaume,0.00012159165901402127,0.0
Corps Rhenania Tübingen,0.00012159165901402127,0.0
University of Leeds,0.00011228281687241565,0.0017547034899629483
University of Warwick,0.00010364204961882007,0.0018107326017820819
Russian Academy of Sciences,9.204458635305709e-05,0.0
Leiden University,9.204458635305709e-05,0.0
Fitzwilliam College,9.204458635305709e-05,0.0
Göttingen Academy of Sciences and Humanities in Lower Saxony,9.204458635305709e-05,0.0
University of Groningen,9.204458635305709e-05,0.0
University of Szeged,9.204458635305709e-05,0.0
Pontifical Academy of Sciences,9.204458635305709e-05,0.0
Vrije Universiteit Amsterdam,6.419141224282847e-05,0.0
Dexter Avenue Baptist Church,6.419141224282847e-05,0.0
Ebenezer Baptist Church,6.419141224282847e-05,0.0
Progressive National Baptist Convention,6.419141224282847e-05,0.0
Southern Christian Leadership Conference,6.419141224282847e-05,0.0
Kappa Alpha Psi,6.381246038206277e-05,0.0
Morehouse College,6.381246038206277e-05,0.0
University of Iowa,6.083823908937533e-05,0.0
Bavarian Academy of Fine Arts,6.083823908937533e-05,0.0
John Jay College of Criminal Justice,5.853650955629242e-05,0.0
American Historical Association,5.793482419921692e-05,0.0
London School of Economics and Political Science,5.5134350494022095e-05,0.006077230710995219
Duke University,5.17235731663378e-05,0.006613259276354136
Georgetown University,5.139506635456717e-05,0.0049107526573646965
University of Notre Dame,5.1124338830742964e-05,0.0018107326017820819
Emory University,5.109574840094223e-05,0.0
Trilateral Commission,5.109574840094223e-05,0.0
The Elders,5.109574840094223e-05,0.0
American Legion,5.109574840094223e-05,0.0
Georgetown University Law Center,4.922810566600109e-05,0.0013351287854912186
Duke Divinity School,4.9149581622153685e-05,0.0
Washington University in St. Louis,4.768499492285562e-05,0.007105406412056271
The Daily Tar Heel,4.533331318573151e-05,0.0
American Anti-Imperialist League,4.517511628277197e-05,0.0
Lycée Condorcet,4.517511628277197e-05,0.0
Partisans Armés,3.288702789258506e-05,0.0
Q131821843,3.288702789258506e-05,0.0
La Vie Ouvrière,3.288702789258506e-05,0.0
Les Femmes dans l'action mondiale,3.288702789258506e-05,0.0
Confédération générale du travail unitaire,3.288702789258506e-05,0.0
Independent Front,3.288702789258506e-05,0.0
"University of California, Los Angeles",2.5938618193445393e-05,0.0036071397874108246
