,organisation,effectif
0,organization,111
1,nonprofit organization,87
2,private not-for-profit educational institution,83
3,university,77
4,international organization,75
5,women's organization,63
6,private university,60
7,research university,49
8,public research university,46
9,non-governmental organization,45
10,open-access publisher,44
11,public educational institution of the united states,43
12,public university,35
13,academic publisher,33
14,peace organization,33
15,learned society,30
16,academy of sciences,29
17,colonial colleges,26
18,educational organization,21
19,higher education institution,17
20,national academy,15
21,advocacy group,15
22,political organization,14
23,musical group,13
24,labor union,12
25,publishing company,12
26,political party,11
27,land-grant university,11
28,newspaper,11
29,intergovernmental organization,10
30,comprehensive university,9
31,university campus,8
32,voluntary association,8
33,magazine,7
34,catholic university,7
35,award,6
36,research institute,6
37,liberal arts college,5
38,school,5
39,charitable organization,5
40,website,5
41,think tank,5
42,government agency,5
43,production company,5
44,historically black college or university,4
45,academy,4
46,business,4
47,sun grant institution,4
48,daily newspaper,4
49,seminary,4
50,university building,4
51,club,4
52,honor society,3
53,foundation,3
54,fraternity,3
55,group of humans,3
56,women's club,3
57,national red cross and red crescent society,3
58,inns of court,3
59,women's college,3
60,workplace,3
61,state university system,3
62,women's rights organization,3
63,national university,3
64,sorority,3
65,501(c)(3) organization,3
66,christian organization,3
67,building,3
68,academic institution,3
69,association,3
70,museum,2
71,secondary school,2
72,church building,2
73,church college,2
74,secret society,2
75,autonomous university,2
76,collection,2
77,political movement,2
78,occupation,2
79,liberal arts college in the united states,2
80,colleges that change lives,2
81,collegiate university,2
82,law school,2
83,communist party,2
84,trade union federation,2
85,local internet registry,2
86,online newspaper,2
87,online database,2
88,human rights organization,2
89,protest,2
90,public–private partnership,2
91,private for-profit educational institution,2
92,religious organization,2
93,discussion group,2
94,political international,2
95,periodical,2
96,peace movement,2
97,rock band,2
98,scientific society,2
99,ottoman association,2
100,organization related to nonviolence,2
101,organization established by the united nations,2
102,christian denomination,2
103,sea grant institution,2
104,comprehensive academic and research university,2
105,public body,2
106,esperanto organization,2
107,government body of australia,2
108,university college,2
109,historical society,2
110,constituent college,2
111,web portal,2
112,archive,2
113,high school,2
114,university in ontario,2
115,youtube channel,2
116,geographic location,2
117,corporation,2
118,united states federal agency,2
119,resistance movement,1
120,aid agency,1
121,role,1
122,backing band,1
123,accrediting body,1
124,air force,1
125,weekly newspaper,1
126,women's college in the united states,1
127,ancient university,1
128,veterans' organization,1
129,university of excellence,1
130,blue-ribbon panel,1
131,united states army formation,1
132,boarding school,1
133,academy of sciences and arts,1
134,public educational institution,1
135,burschenschaft,1
136,young communist league,1
137,public school,1
138,branch of service,1
139,wwii resistance group,1
140,book publisher,1
141,radio station,1
142,regulatory college,1
143,worldview,1
144,religion,1
145,religious community,1
146,academic department,1
147,report,1
148,university museum,1
149,university of applied sciences,1
150,university in france,1
151,university in quebec,1
152,synagogue,1
153,art academy,1
154,public company,1
155,armed forces,1
156,supreme court,1
157,swedish royal academies,1
158,united states special operations forces,1
159,technical institute,1
160,university in postwar japan,1
161,television network,1
162,television station,1
163,theatre building,1
164,armed organization,1
165,trade magazine,1
166,united states national laboratory,1
167,students' union,1
168,studentenverbindung,1
169,student newspaper,1
170,stiftungshochschule,1
171,statutory corporation,1
172,artist collective,1
173,architectural structure,1
174,state order,1
175,standards organization,1
176,sports club,1
177,specialized agency of the united nations,1
178,space grant institution,1
179,university in british columbia,1
180,social media,1
181,social group,1
182,small press,1
183,umbrella organization,1
184,supergroup,1
185,dental school,1
186,psychiatric hospital,1
187,hospital,1
188,corporate title,1
189,government gazette,1
190,government organization,1
191,copyright collective,1
192,gymnasium in germany,1
193,cooperative,1
194,history of feminism,1
195,congressional caucus,1
196,independent agency of the united states government,1
197,protestant church building,1
198,indigenous rights organization,1
199,institute of technology,1
200,institution,1
201,company,1
202,international non-governmental organization,1
203,community college,1
204,jewish organization,1
205,korporationsverband,1
206,gorsedd,1
207,fraternal organization,1
208,fraternal order,1
209,council,1
210,educational facility,1
211,educational institution,1
212,cultural property,1
213,elective office,1
214,engineering society,1
215,esperanto language institute,1
216,esperanto publisher,1
217,ethnic group,1
218,ethnoreligious group,1
219,facility,1
220,faculty,1
221,film production company,1
222,film studio,1
223,folk high school,1
224,foreign agent,1
225,foreign intelligence service,1
226,former christian denomination,1
227,labor school,1
228,combined school,1
229,lgbtq+ rights organization,1
230,christian denominational family,1
231,pacifist organisation,1
232,parliamentary assembly,1
233,peace camp,1
234,census-designated place in the united states,1
235,performing rights organization,1
236,political coalition,1
237,cemetery,1
238,catholic theological faculty,1
239,pontifical academy,1
240,position,1
241,cantonal bank,1
242,private school,1
243,campus university,1
244,business school,1
245,profession,1
246,professional association,1
247,propagandist,1
248,outlaw motorcycle club,1
249,nonprofit corporation,1
250,college of the university of cambridge,1
251,network or movement of the french resistance,1
252,mass media,1
253,mathematical society,1
254,medical school,1
255,military unit branch-type class,1
256,minor party,1
257,mixed brigade,1
258,motorcycle club,1
259,music publishing company,1
260,501(c)(4) organization,1
261,college,1
262,national council of churches,1
263,national health service,1
264,national public health institute,1
265,national section of uea,1
266,national trade union center,1
267,cinema chain,1
268,network,1
269,zoological museum,1
