,token,effectif
0,organization,307
1,university,221
2,educational,152
3,institution,149
4,public,104
5,research,99
6,private,93
7,nonprofit,87
8,not-for-profit,83
9,international,78
10,publisher,75
11,women's,71
12,united,54
13,the,52
14,states,51
15,non-governmental,46
16,open-access,44
17,society,40
18,academic,39
19,group,37
20,peace,36
21,academy,35
22,sciences,31
23,learned,30
24,political,29
25,colleges,28
26,national,26
27,colonial,26
28,college,23
29,company,19
30,higher,17
31,education,17
32,union,16
33,school,15
34,advocacy,15
35,newspaper,14
36,association,14
37,musical,13
38,party,13
39,labor,13
40,publishing,13
41,land-grant,11
42,building,11
43,comprehensive,11
44,agency,10
45,government,10
46,intergovernmental,10
47,campus,9
48,club,9
49,institute,9
50,arts,8
51,magazine,8
52,voluntary,8
53,rights,8
54,catholic,8
55,christian,7
56,liberal,7
57,and,6
58,award,6
59,movement,6
60,production,6
61,think,5
62,tank,5
63,business,5
64,website,5
65,grant,5
66,body,5
67,church,5
68,charitable,5
69,state,4
70,trade,4
71,historically,4
72,court,4
73,corporation,4
74,online,4
75,sun,4
76,black,4
77,seminary,4
78,daily,4
79,workplace,3
80,fraternity,3
81,honor,3
82,high,3
83,system,3
84,humans,3
85,inns,3
86,sorority,3
87,nations,3
88,network,3
89,service,3
90,resistance,3
91,religious,3
92,esperanto,3
93,red,3
94,foundation,3
95,501(c)(3),3
96,cross,3
97,communist,3
98,crescent,3
99,band,3
100,denomination,3
101,collective,2
102,collegiate,2
103,museum,2
104,australia,2
105,station,2
106,media,2
107,local,2
108,location,2
109,autonomous,2
110,lives,2
111,public–private,2
112,law,2
113,constituent,2
114,internet,2
115,council,2
116,collection,2
117,established,2
118,that,2
119,scientific,2
120,protest,2
121,registry,2
122,related,2
123,portal,2
124,rock,2
125,periodical,2
126,partnership,2
127,sea,2
128,social,2
129,secondary,2
130,ottoman,2
131,secret,2
132,order,2
133,change,2
134,ontario,2
135,channel,2
136,nonviolence,2
137,community,2
138,web,2
139,facility,2
140,federal,2
141,archive,2
142,historical,2
143,faculty,2
144,for-profit,2
145,database,2
146,federation,2
147,geographic,2
148,discussion,2
149,forces,2
150,foreign,2
151,armed,2
152,human,2
153,youtube,2
154,fraternal,2
155,hospital,2
156,bank,1
157,weekly,1
158,accrediting,1
159,agent,1
160,academies,1
161,worldview,1
162,blue-ribbon,1
163,section,1
164,television,1
165,boarding,1
166,religion,1
167,burschenschaft,1
168,quebec,1
169,radio,1
170,british,1
171,young,1
172,regulatory,1
173,brigade,1
174,royal,1
175,report,1
176,branch-type,1
177,branch,1
178,book,1
179,aid,1
180,role,1
181,wwii,1
182,air,1
183,small,1
184,supergroup,1
185,student,1
186,studentenverbindung,1
187,students',1
188,studio,1
189,theatre,1
190,artist,1
191,supreme,1
192,title,1
193,swedish,1
194,synagogue,1
195,art,1
196,army,1
197,technical,1
198,technology,1
199,theological,1
200,architectural,1
201,veterans',1
202,applied,1
203,backing,1
204,space,1
205,ancient,1
206,unit,1
207,special,1
208,specialized,1
209,sports,1
210,structure,1
211,standards,1
212,umbrella,1
213,assembly,1
214,statutory,1
215,uea,1
216,stiftungshochschule,1
217,cambridge,1
218,center,1
219,camp,1
220,psychiatric,1
221,denominational,1
222,history,1
223,cultural,1
224,independent,1
225,indigenous,1
226,corporate,1
227,intelligence,1
228,copyright,1
229,cooperative,1
230,japan,1
231,jewish,1
232,korporationsverband,1
233,501(c)(4),1
234,laboratory,1
235,language,1
236,league,1
237,congressional,1
238,health,1
239,gymnasium,1
240,dental,1
241,formation,1
242,ethnoreligious,1
243,excellence,1
244,family,1
245,feminism,1
246,film,1
247,folk,1
248,force,1
249,former,1
250,department,1
251,engineering,1
252,france,1
253,elective,1
254,french,1
255,gazette,1
256,germany,1
257,gorsedd,1
258,lgbtq+,1
259,mass,1
260,mathematical,1
261,postwar,1
262,ethnic,1
263,census-designated,1
264,performing,1
265,place,1
266,cemetery,1
267,pontifical,1
268,position,1
269,press,1
270,panel,1
271,caucus,1
272,cantonal,1
273,profession,1
274,professional,1
275,propagandist,1
276,property,1
277,protestant,1
278,parliamentary,1
279,pacifist,1
280,medical,1
281,coalition,1
282,military,1
283,minor,1
284,mixed,1
285,motorcycle,1
286,combined,1
287,music,1
288,columbia,1
289,class,1
290,outlaw,1
291,cinema,1
292,churches,1
293,occupation,1
294,office,1
295,operations,1
296,organisation,1
297,chain,1
298,zoological,1
