,typesOrg,orgMainType,number,numberOrg
245,organization,generic organisation,44,1
168,international organization | non-governmental organization | nonprofit organization | women's organization,international organisation,26,4
171,international organization | peace organization | women's organization,international organisation,22,3
317,university,university,17,1
15,academic publisher | learned society | nonprofit organization,learned society,15,3
92,colonial colleges | private not-for-profit educational institution | private university | research university,university,13,4
164,intergovernmental organization | international organization,international organisation,10,2
200,musical group,musical group,10,1
268,political organization,political organisation,9,1
277,private not-for-profit educational institution | university,university,8,2
265,peace organization,non-governmental organisation,8,1
287,public educational institution of the united states | university,university,8,2
91,colonial colleges | organization | private not-for-profit educational institution | private university | research university,university,8,5
221,nonprofit organization,generic organisation,8,1
250,organization | political party,generic organisation,7,2
291,public university,university,7,1
285,public educational institution of the united states | public university,university,7,2
289,public research university,university,6,1
283,public educational institution of the united states | public research university,university,6,2
20,academy of sciences | award,generic organisation,6,2
234,open-access publisher | private not-for-profit educational institution | private university | research university,university,6,4
34,advocacy group | international organization,international organisation,6,2
166,international organization | labor union,international organisation,5,2
211,newspaper,generic organisation,5,1
193,magazine,generic organisation,5,1
273,private not-for-profit educational institution | private university | research university,university,5,3
272,private not-for-profit educational institution | private university,university,4,2
10,academic publisher | colonial colleges | private not-for-profit educational institution | private university | research university,university,4,5
117,educational organization | higher education institution | public research university,university,4,3
142,government agency,generic organisation,4,1
236,open-access publisher | private not-for-profit educational institution | university,university,4,3
219,non-governmental organization | organization | publishing company,non-governmental organisation,4,3
214,non-governmental organization,non-governmental organisation,3,1
303,sorority,generic organisation,3,1
139,fraternity,generic organisation,3,1
205,national red cross and red crescent society,generic organisation,3,1
25,academy of sciences | learned society | national academy | open-access publisher | organization | publishing company,learned society,3,6
12,academic publisher | honor society | learned society | organization,learned society,3,4
280,private university,university,3,1
274,private not-for-profit educational institution | private university | research university | workplace,university,3,4
270,political party,generic organisation,3,1
251,organization | public educational institution of the united states | public research university | university | university campus,university,3,5
67,catholic university | private not-for-profit educational institution | private university | research university,university,3,4
230,nonprofit organization | women's club,generic organisation,3,2
180,land-grant university | private not-for-profit educational institution | private university | research university | sun grant institution,university,3,5
231,online database | voluntary association,generic organisation,2,2
121,educational organization | public research university,university,2,2
136,foundation | nonprofit organization,generic organisation,2,2
266,periodical,generic organisation,2,1
77,christian organization | nonprofit organization | organization related to nonviolence,generic organisation,2,3
237,open-access publisher | private university | public educational institution of the united states | public–private partnership | research university,university,2,5
84,collection | public educational institution of the united states | university,university,2,3
212,newspaper | online newspaper,generic organisation,2,2
233,open-access publisher | ottoman association | university,university,2,3
108,daily newspaper,generic organisation,2,1
87,colleges that change lives | liberal arts college | private not-for-profit educational institution,university,2,3
140,geographic location | university,university,2,2
118,educational organization | higher education institution | public university,university,2,3
151,high school,generic organisation,2,1
114,educational organization | higher education institution | open-access publisher | organization | public research university,university,2,5
258,organization | women's organization,non-governmental organisation,2,2
149,group of humans | protest,generic organisation,2,2
111,discussion group,generic organisation,2,1
256,organization | university,university,2,2
218,non-governmental organization | organization,non-governmental organisation,2,2
246,organization established by the united nations,generic organisation,2,1
101,comprehensive university | public university,university,2,2
103,constituent college | educational organization | higher education institution | public research university,university,2,4
109,daily newspaper | newspaper,generic organisation,2,2
248,organization | political international,generic organisation,2,2
252,organization | public research university,university,2,2
66,catholic university,university,2,1
23,academy of sciences | learned society | national academy,learned society,2,3
37,advocacy group | organization | women's organization,non-governmental organisation,2,3
299,school,generic organisation,2,1
19,academy of sciences | archive | national academy,generic organisation,2,3
11,academic publisher | comprehensive university | national university | university,university,2,4
187,learned society | nonprofit organization,learned society,2,2
175,labor union,generic organisation,2,1
14,academic publisher | international organization | nonprofit organization | open-access publisher,learned society,2,4
176,labor union | nonprofit organization,generic organisation,2,2
181,land-grant university | public educational institution of the united states | public research university,university,2,3
35,advocacy group | nonprofit organization,generic organisation,2,2
33,advocacy group,generic organisation,2,1
276,private not-for-profit educational institution | seminary,university,2,2
178,labor union | women's organization,non-governmental organisation,2,2
17,academy of sciences,generic organisation,2,1
29,academy of sciences | publishing company,generic organisation,2,2
170,international organization | non-governmental organization | women's organization | women's rights organization,international organisation,2,4
27,academy of sciences | national academy | organization | public body,generic organisation,2,4
9,academic publisher | catholic university | open-access publisher | private not-for-profit educational institution | private university,university,2,5
8,academic publisher | academy | academy of sciences,learned society,2,3
70,charitable organization | club,generic organisation,2,2
278,private not-for-profit educational institution | university | university campus,university,2,3
321,web portal | website | youtube channel,generic organisation,2,3
320,voluntary association,generic organisation,2,1
184,law school,generic organisation,2,1
189,liberal arts college in the united states | private not-for-profit educational institution,university,2,2
1,501(c)(3) organization | magazine | website,generic organisation,2,3
162,inns of court,generic organisation,2,1
183,land-grant university | public educational institution of the united states | university,university,2,3
59,business,generic organisation,2,1
286,public educational institution of the united states | public university | university | university building,university,2,4
288,public educational institution of the united states | university campus,university,2,2
7,academic publisher | academy of sciences | production company | publishing company,learned society,2,4
51,autonomous university | comprehensive academic and research university | corporation | open-access publisher | public research university,university,2,5
223,nonprofit organization | regulatory college,generic organisation,1,2
208,national university | university,university,1,2
224,nonprofit organization | religious organization | women's organization,non-governmental organisation,1,3
195,mathematical society,generic organisation,1,1
225,nonprofit organization | research institute,generic organisation,1,2
194,mass media | weekly newspaper,generic organisation,1,2
226,nonprofit organization | small press,generic organisation,1,2
196,minor party,generic organisation,1,1
199,music publishing company,generic organisation,1,1
222,nonprofit organization | psychiatric hospital,generic organisation,1,2
197,mixed brigade,generic organisation,1,1
209,network or movement of the french resistance,generic organisation,1,1
228,nonprofit organization | veterans' organization,generic organisation,1,2
207,national trade union center,generic organisation,1,1
210,network | peace organization | voluntary association,non-governmental organisation,1,3
206,national section of uea,generic organisation,1,1
213,newspaper | student newspaper,generic organisation,1,2
204,national council of churches,generic organisation,1,1
215,non-governmental organization | nonprofit corporation | nonprofit organization,non-governmental organisation,1,3
203,national academy,generic organisation,1,1
216,non-governmental organization | nonprofit organization,non-governmental organisation,1,2
202,musical group | supergroup,musical group,1,2
201,musical group | rock band,musical group,1,2
