uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q1001,Mahatma Gandhi,1869,membership,http://www.wikidata.org/entity/Q1233784,Inner Temple,3,educational institution | university building | Inns of Court,1851-1900
http://www.wikidata.org/entity/Q1001,Mahatma Gandhi,1869,membership,http://www.wikidata.org/entity/Q2154954,Vegetarian Society,2,charitable organization | club,1851-1900
http://www.wikidata.org/entity/Q102037550,Marge Frantz,1922,employment,http://www.wikidata.org/entity/Q1047293,"University of California, Santa Cruz",2,university campus | public educational institution of the United States,1921-1940
http://www.wikidata.org/entity/Q104183,Lillian Gish,1893,membership,http://www.wikidata.org/entity/Q1541947,Daughters of the American Revolution,2,nonprofit organization | women's club,1851-1900
http://www.wikidata.org/entity/Q104622,Tawakkol Karman,1979,membership,http://www.wikidata.org/entity/Q7045639,Nobel Women's Initiative,2,international organization | advocacy group,1961-1980
http://www.wikidata.org/entity/Q105301557,Sofia Spångberg,1898,membership,http://www.wikidata.org/entity/Q105317493,Q105317493,1,voluntary association,1851-1900
http://www.wikidata.org/entity/Q105530804,Pierre Sellincourt,1937,membership,http://www.wikidata.org/entity/Q3326586,Mouvement de la Paix,1,organization,1921-1940
http://www.wikidata.org/entity/Q105583600,Ken Weller,1936,membership,http://www.wikidata.org/entity/Q7577135,Spies for Peace,1,group of humans,1921-1940
http://www.wikidata.org/entity/Q105593,Friedrich Siegmund-Schultze,1885,employment,http://www.wikidata.org/entity/Q152087,Humboldt-Universität zu Berlin,4,public research university | comprehensive university | open-access publisher | University of Excellence,1851-1900
http://www.wikidata.org/entity/Q105593,Friedrich Siegmund-Schultze,1885,employment,http://www.wikidata.org/entity/Q168426,University of Münster,3,comprehensive university | local Internet registry | public university,1851-1900
http://www.wikidata.org/entity/Q105593,Friedrich Siegmund-Schultze,1885,employment,http://www.wikidata.org/entity/Q20266330,Frederick William University Berlin,1,university,1851-1900
http://www.wikidata.org/entity/Q105840219,Gwyn Kirk,1945,membership,http://www.wikidata.org/entity/Q5604092,Greenham Common Women's Peace Camp,1,peace camp,1941-1960
http://www.wikidata.org/entity/Q105876,Horst-Eberhard Richter,1923,employment,http://www.wikidata.org/entity/Q165980,University of Vienna,1,university,1921-1940
http://www.wikidata.org/entity/Q105876,Horst-Eberhard Richter,1923,employment,http://www.wikidata.org/entity/Q317053,University of Giessen,2,comprehensive university | public university,1921-1940
http://www.wikidata.org/entity/Q107037,Leymah Roberta Gbowee,1972,employment,http://www.wikidata.org/entity/Q49088,Columbia University,5,research university | private university | Colonial Colleges | private not-for-profit educational institution | organization,1961-1980
http://www.wikidata.org/entity/Q107037,Leymah Roberta Gbowee,1972,membership,http://www.wikidata.org/entity/Q7045639,Nobel Women's Initiative,2,international organization | advocacy group,1961-1980
http://www.wikidata.org/entity/Q107151062,Robert Lee Humber,1898,membership,http://www.wikidata.org/entity/Q17091986,North Carolina Bar Association,1,organization,1851-1900
http://www.wikidata.org/entity/Q108460628,Hannah Bernheim-Rosenzweig,1898,membership,http://www.wikidata.org/entity/Q689768,Women's International League for Peace and Freedom,4,women's organization | international organization | nonprofit organization | non-governmental organization,1851-1900
http://www.wikidata.org/entity/Q108662749,Mosheh Efrayim Efrati,1886,employment,http://www.wikidata.org/entity/Q45835604,Ness Ziona Synagogue,1,synagogue,1851-1900
http://www.wikidata.org/entity/Q110636970,Frank H. Epp,1929,employment,http://www.wikidata.org/entity/Q5162525,Conrad Grebel University College,2,university college | seminary,1921-1940
http://www.wikidata.org/entity/Q110636970,Frank H. Epp,1929,membership,http://www.wikidata.org/entity/Q7888327,United Nations Association,3,organization | association | charitable organization,1921-1940
http://www.wikidata.org/entity/Q110636970,Frank H. Epp,1929,employment,http://www.wikidata.org/entity/Q1920633,Mennonite Central Committee,1,nonprofit organization,1921-1940
http://www.wikidata.org/entity/Q110636970,Frank H. Epp,1929,employment,http://www.wikidata.org/entity/Q18395383,World Federalist Movement-Canada,1,organization,1921-1940
http://www.wikidata.org/entity/Q110719,Q110719,1943,membership,http://www.wikidata.org/entity/Q547951,Vereinte Dienstleistungsgewerkschaft,2,organization | labor union,1941-1960
http://www.wikidata.org/entity/Q110719,Q110719,1943,employment,http://www.wikidata.org/entity/Q301269,Aargauische Kantonalbank,1,cantonal bank,1941-1960
http://www.wikidata.org/entity/Q110719,Q110719,1943,membership,http://www.wikidata.org/entity/Q1145955,Cusanuswerk,1,foundation,1941-1960
http://www.wikidata.org/entity/Q110924322,Arlo Tatum,1923,membership,http://www.wikidata.org/entity/Q1890441,War Resisters' International,1,organization,1921-1940
http://www.wikidata.org/entity/Q111165640,Hyun Lee,1970,employment,http://www.wikidata.org/entity/Q107482113,Women Cross DMZ,2,organization | advocacy group,1961-1980
http://www.wikidata.org/entity/Q112049033,Buzz Alexander,1938,employment,http://www.wikidata.org/entity/Q230492,University of Michigan,2,public research university | public educational institution of the United States,1921-1940
http://www.wikidata.org/entity/Q112352074,Patrick Anderson,1936,employment,http://www.wikidata.org/entity/Q622664,"University of California, San Diego",2,public educational institution of the United States | public university,1921-1940
http://www.wikidata.org/entity/Q11267083,Lee Hui-ho,1922,employment,http://www.wikidata.org/entity/Q41114,Ewha Womans University,2,private university | women's college,1921-1940
