p,propLabel,eff
http://www.wikidata.org/prop/direct/P106,occupation,3604
http://www.wikidata.org/prop/direct/P735,given name,1088
http://www.wikidata.org/prop/direct/P569,date of birth,1070
http://www.wikidata.org/prop/direct/P27,country of citizenship,1069
http://www.wikidata.org/prop/direct/P31,instance of,1045
http://www.wikidata.org/prop/direct/P21,sex or gender,1037
http://www.wikidata.org/prop/direct/P69,educated at,1007
http://www.wikidata.org/prop/direct/P166,award received,864
http://www.wikidata.org/prop/direct/P19,place of birth,827
http://www.wikidata.org/prop/direct/P734,family name,810
http://www.wikidata.org/prop/direct/P214,VIAF cluster ID,749
http://www.wikidata.org/prop/direct/P570,date of death,736
http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",734
http://www.wikidata.org/prop/direct/P646,Freebase ID,661
http://www.wikidata.org/prop/direct/P213,ISNI,619
http://www.wikidata.org/prop/direct/P244,Library of Congress authority ID,619
http://www.wikidata.org/prop/direct/P10832,WorldCat Entities ID,596
http://www.wikidata.org/prop/direct/P18,image,594
http://www.wikidata.org/prop/direct/P20,place of death,504
http://www.wikidata.org/prop/direct/P227,GND ID,503
http://www.wikidata.org/prop/direct/P373,Commons category,499
http://www.wikidata.org/prop/direct/P1343,described by source,484
http://www.wikidata.org/prop/direct/P2163,FAST ID,422
http://www.wikidata.org/prop/direct/P101,field of work,413
http://www.wikidata.org/prop/direct/P269,IdRef ID,404
http://www.wikidata.org/prop/direct/P8189,J9U ID,399
http://www.wikidata.org/prop/direct/P1006,Nationale Thesaurus voor Auteursnamen ID,381
http://www.wikidata.org/prop/direct/P108,employer,361
http://www.wikidata.org/prop/direct/P39,position held,351
http://www.wikidata.org/prop/direct/P463,member of,334
http://www.wikidata.org/prop/direct/P3430,SNAC ARK ID,311
http://www.wikidata.org/prop/direct/P268,Bibliothèque nationale de France ID,301
http://www.wikidata.org/prop/direct/P1207,NUKAT ID,295
http://www.wikidata.org/prop/direct/P3368,Prabook ID,277
http://www.wikidata.org/prop/direct/P102,member of political party,276
http://www.wikidata.org/prop/direct/P648,Open Library ID,262
http://www.wikidata.org/prop/direct/P2671,Google Knowledge Graph ID,256
http://www.wikidata.org/prop/direct/P1559,name in native language,234
